Cell_id	Site01	Site02	Site03
step9_SE_4px85t8ebc9pblit7nfo_cell7	R-17	R-5	R-39
step9_Foregut_64itb6yij735r7vqfut3_cell3	R-17	R-5	R-39
step9_NP_6f42fo31k3ji3gznsnuz_cell2	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell22	R-17	R-5	R-39
step9_Node_o8nez1z564u4bgkfoi8m_cell4	R-17	R-5	R-2
step9_Node_o8nez1z564u4bgkfoi8m_cell2	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell68	R-17	R-5	R-5
step9_Foregut_bnowzacs3e9lx8c7ierz_cell11	R-17	R-5	R-5
step9_LM_ummziu8je45t8bwd1ssi_cell55	R-17	R-5	R-1
step9_SE_4px85t8ebc9pblit7nfo_cell11	R-17	R-8	R-3
step9_SE_4px85t8ebc9pblit7nfo_cell25	R-17	R-8	R-3
step9_RM_s7yljlsdcjgpltg9vsbz_cell40	R-17	R-8	R-3
step9_Ery2_m5db6slty57jeyg5idqx_cell18	R-17	R-8	R-3
step9_SE_4px85t8ebc9pblit7nfo_cell4	R-17	R-5	R-1
step9_LM_e9gka63dh53n7ztqvekc_cell3	R-17	R-8	R-3
step9_Foregut_64itb6yij735r7vqfut3_cell46	R-17	R-8	R-3
step9_ExE_1ydq5j6hqtviq3szwye8_cell31	R-17	R-5	R-39
step9_ExE_1ydq5j6hqtviq3szwye8_cell14	R-17	R-5	R-39
step9_LM_ummziu8je45t8bwd1ssi_cell35	R-17	R-8	R-15
step9_A/C_ds2q4kalqkri4b1byfoj_cell64	R-17	R-5	R-5
step9_Al_z54k2mn1kspqdfxi1pdr_cell22	R-17	R-5	R-1
step9_ExEc_zwtydq6cdu36vroqak71_cell2	R-17	R-8	R-3
step9_CMy_qvd1xogbwba9rj7uj5mk_cell63	R-17	R-16	R-2
step9_Foregut_64itb6yij735r7vqfut3_cell2	R-17	R-16	R-2
step9_Al_yorklxqdhms66yfz43ce_cell27	R-17	R-5	R-5
step9_Ery2_zw9lmt4zufshxoc82duc_cell20	R-17	R-8	R-3
step9_LM_ummziu8je45t8bwd1ssi_cell40	R-17	R-8	R-15
step9_LM_qercie7fjaw58haxrm3q_cell3	R-17	R-8	R-3
step9_NP_hit8gicey5zr7mbaajge_cell12	R-17	R-8	R-3
step9_VE_dt1zyooaebih7jfyog3r_cell26	R-17	R-16	R-2
step9_Foregut1_vdqe4sttl8x4tibsrkan_cell16	R-17	R-16	R-2
step9_A/C_ds2q4kalqkri4b1byfoj_cell17	R-17	R-5	R-1
step9_Foregut_lhbxjqv3ixy35wujppe8_cell2	R-17	R-8	R-3
step9_LM_ummziu8je45t8bwd1ssi_cell56	R-17	R-8	R-15
step9_RM_truofavbwy8t6xfngi6p_cell7	R-17	R-8	R-15
step9_LM_ummziu8je45t8bwd1ssi_cell41	R-17	R-8	R-15
step9_SE_yw3ew6vii1be2orhxeb8_cell7	R-17	R-8	R-15
step9_CMy_qvd1xogbwba9rj7uj5mk_cell5	R-17	R-8	R-15
step9_PM_heu1eskvkgta3a4cns6m_cell10	R-17	R-8	R-15
step9_NP_vlugemo4cu261xpcfn4j_cell22	R-17	R-8	R-15
step9_Ery2_zw9lmt4zufshxoc82duc_cell11	R-17	R-8	R-15
step9_ExE_nibp8ht25gt3rmx9o78s_cell21	R-17	R-5	R-5
step9_ExE_nibp8ht25gt3rmx9o78s_cell22	R-17	R-5	R-5
step9_SE_4px85t8ebc9pblit7nfo_cell17	R-17	R-8	R-15
step9_Ery2_zw9lmt4zufshxoc82duc_cell25	R-17	R-8	R-15
step9_MTr_dv2s451wzf8ww51y74bw_cell11	R-17	0	R-2
step9_MTr_61rwktv5g75j1vntxmrl_cell3	R-17	R-8	R-3
step9_Foregut_5pd1g2sm4l6dpcwuqwdd_cell7	R-17	R-5	R-20
step9_PM_kpdnxg85a5qombh983pv_cell53	R-17	R-5	R-1
step9_LM_ummziu8je45t8bwd1ssi_cell33	R-17	R-5	R-39
step9_CMy_8cwhctqtitt969yivr3t_cell6	R-17	R-8	R-3
step9_MTr_44btmtxi46cfowc9syvd_cell19	R-17	R-2	R-2
step9_PM_kpdnxg85a5qombh983pv_cell48	R-17	R-8	R-15
step9_PM_kpdnxg85a5qombh983pv_cell16	R-17	R-8	R-15
step9_Foregut_64itb6yij735r7vqfut3_cell58	R-17	R-5	R-2
step9_Foregut_5pd1g2sm4l6dpcwuqwdd_cell4	R-17	R-8	R-15
step9_CMy_qvd1xogbwba9rj7uj5mk_cell34	R-17	R-5	R-14
step9_ExEc_wsgftfkniik728dyrozi_cell4	R-17	R-8	R-3
step9_MTr_61rwktv5g75j1vntxmrl_cell2	R-17	R-11	R-2
step9_Node_kvpbk7oi2ydniesu7m28_cell8	R-17	R-8	R-3
step9_ExEc_wsgftfkniik728dyrozi_cell1	R-17	R-8	R-43
step9_ExEc_dcz7elor546xxjdf2zwg_cell3	R-17	R-8	0
step9_SE_yw3ew6vii1be2orhxeb8_cell32	R-17	R-5	R-3
step9_Al_yorklxqdhms66yfz43ce_cell66	R-17	R-5	R-2
step9_NP_vlugemo4cu261xpcfn4j_cell28	R-17	R-5	R-2
step9_RM_s7yljlsdcjgpltg9vsbz_cell8	R-17	R-5	R-2
step9_Foregut_bnowzacs3e9lx8c7ierz_cell1	R-17	R-5	R-2
step9_CMy_qvd1xogbwba9rj7uj5mk_cell8	R-17	R-5	R-2
step9_Node_kvpbk7oi2ydniesu7m28_cell16	R-17	R-5	R-2
step9_RM_lzbkx581plse8iq6ldpb_cell11	R-17	R-5	R-2
step9_SE_yw3ew6vii1be2orhxeb8_cell33	R-17	R-5	R-2
step9_ExEc_28yb9pgez73wp6bfoxpp_cell26	R-17	R-8	R-3
step9_ExEc_28yb9pgez73wp6bfoxpp_cell18	R-17	R-8	R-3
step9_Ery2_m5db6slty57jeyg5idqx_cell27	R-17	R-5	R-2
step9_NP_vlugemo4cu261xpcfn4j_cell29	R-17	R-8	R-3
step9_NP_16cyihvimym522jcuaby_cell11	R-17	R-8	R-3
step9_Al_mtui4862d3srr3yga1ex_cell1	R-17	R-8	R-3
step9_PM_4wybcp8sjowpblyxkdaz_cell2	R-17	R-5	R-2
step9_CMy_2ydwxvzgpsvtg3p4gs1m_cell5	R-17	R-8	R-3
step9_NP_vlugemo4cu261xpcfn4j_cell36	R-17	R-8	R-3
step9_ExE_nibp8ht25gt3rmx9o78s_cell18	R-17	R-16	R-2
step9_ExE_dt43yh3gij1w2up49fpj_cell5	R-17	R-16	R-2
step9_Node_o8nez1z564u4bgkfoi8m_cell29	R-17	R-8	R-3
step9_Node_kvpbk7oi2ydniesu7m28_cell9	R-17	R-8	R-3
step9_PM_kpdnxg85a5qombh983pv_cell29	R-17	R-5	R-2
step9_Node_kvpbk7oi2ydniesu7m28_cell12	R-17	R-5	R-2
step9_PM_kpdnxg85a5qombh983pv_cell54	R-17	R-5	R-2
step9_LM_ummziu8je45t8bwd1ssi_cell22	R-17	R-5	R-2
step9_PM_heu1eskvkgta3a4cns6m_cell5	R-17	R-5	R-2
step9_SE_4px85t8ebc9pblit7nfo_cell26	R-17	R-5	R-2
step9_VE_p84e94ax4x7bjujxy7ue_cell3	R-17	R-5	R-10
step9_RM_s7yljlsdcjgpltg9vsbz_cell45	R-17	R-5	R-5
step9_RM_s7yljlsdcjgpltg9vsbz_cell18	R-17	R-16	R-2
step9_LM_e9gka63dh53n7ztqvekc_cell7	R-17	R-16	R-2
step9_NP_16cyihvimym522jcuaby_cell4	R-17	R-8	R-15
step9_NP_16cyihvimym522jcuaby_cell7	R-17	R-5	R-5
step9_RM_s7yljlsdcjgpltg9vsbz_cell23	R-17	R-5	R-5
step9_A/C_ds2q4kalqkri4b1byfoj_cell32	R-17	R-8	R-15
step9_SE_yw3ew6vii1be2orhxeb8_cell39	R-17	R-16	R-2
step9_RM_s7yljlsdcjgpltg9vsbz_cell31	R-17	R-16	R-2
step9_Al_z54k2mn1kspqdfxi1pdr_cell8	R-17	R-5	R-1
step9_PM_4wybcp8sjowpblyxkdaz_cell6	R-17	R-5	R-2
step9_A/C_ds2q4kalqkri4b1byfoj_cell24	R-17	R-5	R-2
step9_RM_lzbkx581plse8iq6ldpb_cell3	R-17	R-16	R-2
step9_Node_kvpbk7oi2ydniesu7m28_cell3	R-17	R-5	R-2
step9_Node_glls82spkfcbvh82h484_cell2	R-17	R-8	R-3
step9_Ery2_zw9lmt4zufshxoc82duc_cell10	R-17	R-8	R-3
step9_Ery2_m5db6slty57jeyg5idqx_cell29	R-17	R-8	R-15
step9_Foregut_64itb6yij735r7vqfut3_cell40	R-17	R-8	R-15
step9_PM_s8ha4bcxtxi66wi796cb_cell1	R-17	R-8	R-3
step9_CMy_qvd1xogbwba9rj7uj5mk_cell9	R-17	R-8	R-3
step9_CMy_qvd1xogbwba9rj7uj5mk_cell37	R-17	R-8	R-15
step9_Foregut_bnowzacs3e9lx8c7ierz_cell14	R-17	R-5	R-2
step9_NP_vlugemo4cu261xpcfn4j_cell23	R-17	R-5	R-2
step9_Node_kvpbk7oi2ydniesu7m28_cell18	R-17	R-8	R-3
step9_LM_qercie7fjaw58haxrm3q_cell15	R-17	R-5	R-5
step9_Al_yorklxqdhms66yfz43ce_cell18	R-17	R-16	R-2
step9_NP_hit8gicey5zr7mbaajge_cell9	R-17	R-5	R-5
step9_Al_yorklxqdhms66yfz43ce_cell61	R-17	R-5	R-5
step9_LM_ummziu8je45t8bwd1ssi_cell53	R-17	R-8	R-3
step9_Al_xefv7zjdl2pnbugrjuin_cell2	R-17	R-8	R-3
step9_RM_s7yljlsdcjgpltg9vsbz_cell56	R-17	R-8	R-3
step9_Foregut_bnowzacs3e9lx8c7ierz_cell10	R-17	R-8	R-3
step9_PM_kpdnxg85a5qombh983pv_cell37	R-17	R-8	R-3
step9_ExEc_wsgftfkniik728dyrozi_cell15	R-17	R-8	R-25
step9_ExEc_jmclxul2x6fcwgqiymyy_cell6	R-17	R-8	R-3
step9_ExEc_zwtydq6cdu36vroqak71_cell5	R-17	R-8	R-3
step9_SE_lxd8eign6rhgfldgoicm_cell15	R-17	R-8	R-3
step9_MTr_dv2s451wzf8ww51y74bw_cell21	R-17	R-8	R-3
step9_RM_s7yljlsdcjgpltg9vsbz_cell60	R-17	R-8	R-3
step9_Node_kvpbk7oi2ydniesu7m28_cell4	R-17	R-8	R-3
step9_PM_99nc943c1ok3uux81tya_cell2	R-17	R-5	R-5
step9_RM_s7yljlsdcjgpltg9vsbz_cell20	R-17	R-8	R-3
step9_PM_kpdnxg85a5qombh983pv_cell30	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell46	R-17	R-16	R-2
step9_RM_s7yljlsdcjgpltg9vsbz_cell12	R-17	R-5	R-2
step9_RM_s7yljlsdcjgpltg9vsbz_cell25	R-17	R-5	R-2
step9_SE_4px85t8ebc9pblit7nfo_cell29	R-17	R-8	R-3
step9_Ery2_zw9lmt4zufshxoc82duc_cell19	R-17	R-5	R-2
step9_Node_o8nez1z564u4bgkfoi8m_cell24	R-17	R-5	R-2
step9_LM_qercie7fjaw58haxrm3q_cell17	R-17	R-8	R-3
step9_RM_lzbkx581plse8iq6ldpb_cell12	R-17	R-8	R-3
step9_Foregut_64itb6yij735r7vqfut3_cell36	R-17	R-8	R-3
step9_VE_iblms369zydmqt8amgrd_cell18	R-17	R-5	R-39
step9_VE_iblms369zydmqt8amgrd_cell15	R-17	R-5	R-39
step9_RM_lzbkx581plse8iq6ldpb_cell6	R-17	R-5	R-2
step9_CMy_qvd1xogbwba9rj7uj5mk_cell33	R-17	R-5	R-39
step9_CMy_qvd1xogbwba9rj7uj5mk_cell3	R-17	R-5	R-39
step9_A/C_ds2q4kalqkri4b1byfoj_cell23	R-17	R-8	R-15
step9_Foregut_64itb6yij735r7vqfut3_cell25	R-17	R-8	R-3
step9_Node_kvpbk7oi2ydniesu7m28_cell35	R-17	R-8	R-15
step9_CMy_8cwhctqtitt969yivr3t_cell4	R-17	R-5	R-39
step9_VE_dt1zyooaebih7jfyog3r_cell8	R-17	R-8	R-3
step9_VE_iblms369zydmqt8amgrd_cell8	R-17	R-8	R-3
step9_Foregut_rz3p7spgsnvsbhe7ggkk_cell2	R-17	R-8	R-3
step9_PM_heu1eskvkgta3a4cns6m_cell2	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell33	R-17	R-5	R-39
step9_PM_kpdnxg85a5qombh983pv_cell35	R-17	R-5	R-39
step9_CMy_8cwhctqtitt969yivr3t_cell14	R-17	R-5	R-39
step9_VE_kewg3vf3pyzl626kck29_cell6	R-17	R-16	R-2
step9_ExE_nibp8ht25gt3rmx9o78s_cell8	R-17	R-8	R-3
step9_ExE_4jh7vjt1mslnqxw7uaro_cell1	R-17	R-8	R-3
step9_ExEc_28yb9pgez73wp6bfoxpp_cell20	R-17	R-8	R-3
step9_ExEc_wsgftfkniik728dyrozi_cell11	R-17	R-8	R-3
step9_Foregut_64itb6yij735r7vqfut3_cell7	R-17	R-8	R-3
step9_SE_yw3ew6vii1be2orhxeb8_cell26	R-17	R-8	R-3
step9_ExEc_wsgftfkniik728dyrozi_cell8	R-17	R-1	R-2
step9_ExEc_dcz7elor546xxjdf2zwg_cell1	R-17	R-2	R-2
step9_SE_yw3ew6vii1be2orhxeb8_cell37	R-17	R-5	R-2
step9_NP_hit8gicey5zr7mbaajge_cell36	R-17	R-5	R-5
step9_RM_s7yljlsdcjgpltg9vsbz_cell32	R-17	R-5	R-10
step9_CMy_8cwhctqtitt969yivr3t_cell2	R-17	R-8	R-3
step9_LM_qercie7fjaw58haxrm3q_cell2	R-17	R-8	R-3
step9_SE_4px85t8ebc9pblit7nfo_cell1	R-17	R-5	R-1
step9_SE_yw3ew6vii1be2orhxeb8_cell17	R-17	R-5	R-5
step9_MTr_99bpipxlo89jvcp2vr46_cell6	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell20	R-17	R-8	R-3
step9_RM_s7yljlsdcjgpltg9vsbz_cell16	R-17	R-16	R-2
step9_Ery2_1qnmofnadh7s44dxph8l_cell5	R-17	R-5	R-63
step9_A/C_ds2q4kalqkri4b1byfoj_cell4	R-17	R-16	R-2
step9_RM_s7yljlsdcjgpltg9vsbz_cell43	R-17	R-16	R-2
step9_PM_g7vmbkyvcp37tdd93c5l_cell1	R-17	R-8	R-3
step9_Node_o8nez1z564u4bgkfoi8m_cell23	R-17	R-8	R-3
step9_CMy_qvd1xogbwba9rj7uj5mk_cell59	R-17	R-5	R-1
step9_Ery2_zw9lmt4zufshxoc82duc_cell40	R-17	R-5	R-5
step9_RM_lzbkx581plse8iq6ldpb_cell13	R-17	R-8	R-3
step9_CMy_qvd1xogbwba9rj7uj5mk_cell11	R-17	R-8	R-3
step9_Node_o8nez1z564u4bgkfoi8m_cell22	R-17	R-5	R-33
step9_RM_fdgen1w9h7qzsebicwo7_cell1	R-17	R-5	R-33
step9_MTr_44btmtxi46cfowc9syvd_cell33	R-17	R-8	R-2
step9_CMy_qvd1xogbwba9rj7uj5mk_cell54	R-17	R-8	R-15
step9_ExEc_wsgftfkniik728dyrozi_cell10	R-17	R-8	R-4
step9_SE_lxd8eign6rhgfldgoicm_cell9	R-17	R-8	R-15
step9_Foregut_64itb6yij735r7vqfut3_cell20	R-17	R-5	R-1
step9_LM_ummziu8je45t8bwd1ssi_cell49	R-17	R-5	R-1
step9_LM_ummziu8je45t8bwd1ssi_cell62	R-17	R-8	R-3
step9_A/C_ds2q4kalqkri4b1byfoj_cell66	R-17	R-5	R-5
step9_SE_4px85t8ebc9pblit7nfo_cell5	R-17	R-5	R-5
step9_Al_z54k2mn1kspqdfxi1pdr_cell18	R-17	R-8	R-15
step9_RM_s7yljlsdcjgpltg9vsbz_cell42	R-17	R-8	R-15
step9_Al_yorklxqdhms66yfz43ce_cell41	R-17	R-16	R-2
step9_Foregut_5pd1g2sm4l6dpcwuqwdd_cell3	R-17	R-8	R-15
step9_Node_o8nez1z564u4bgkfoi8m_cell44	R-17	R-8	R-15
step9_LM_ummziu8je45t8bwd1ssi_cell19	R-17	R-8	R-15
step9_Al_yorklxqdhms66yfz43ce_cell44	R-17	R-8	R-3
step9_Node_kvpbk7oi2ydniesu7m28_cell7	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell39	R-17	R-8	R-3
step9_NP_hit8gicey5zr7mbaajge_cell5	R-17	R-5	R-5
step9_PM_kpdnxg85a5qombh983pv_cell34	R-17	R-8	R-3
step9_LM_qercie7fjaw58haxrm3q_cell11	R-17	R-5	R-5
step9_CMy_qvd1xogbwba9rj7uj5mk_cell24	R-17	R-5	R-5
step9_Foregut_bnowzacs3e9lx8c7ierz_cell7	R-17	R-8	R-3
step9_VE_dt1zyooaebih7jfyog3r_cell2	R-17	R-8	R-3
step9_Node_o8nez1z564u4bgkfoi8m_cell30	R-17	R-16	R-2
step9_NP_hit8gicey5zr7mbaajge_cell7	R-17	R-16	R-2
step9_PM_kpdnxg85a5qombh983pv_cell41	R-17	R-16	R-2
step9_NP_vlugemo4cu261xpcfn4j_cell9	R-17	R-8	R-15
step9_Ery2_m5db6slty57jeyg5idqx_cell4	R-17	R-8	R-15
step9_NP_hit8gicey5zr7mbaajge_cell2	R-17	R-5	R-5
step9_Al_yorklxqdhms66yfz43ce_cell40	R-17	R-8	R-15
step9_SE_95xfd9ol119uomggvt4d_cell1	R-17	R-8	R-15
step9_LM_ummziu8je45t8bwd1ssi_cell5	R-17	R-5	R-5
step9_SE_4px85t8ebc9pblit7nfo_cell30	R-17	R-8	R-3
step9_Foregut_lhbxjqv3ixy35wujppe8_cell1	R-17	R-5	R-5
step9_Node_o8nez1z564u4bgkfoi8m_cell41	R-17	R-8	R-3
step9_Foregut_64itb6yij735r7vqfut3_cell54	R-17	R-8	R-3
step9_RM_fdgen1w9h7qzsebicwo7_cell2	R-17	R-8	R-3
step9_CMy_2ydwxvzgpsvtg3p4gs1m_cell3	R-17	R-8	R-3
step9_ExE_hqiwx4qppiczqyrmrhlu_cell1	R-17	R-5	R-5
step9_LM_ummziu8je45t8bwd1ssi_cell23	R-17	R-8	R-15
step9_CMy_qvd1xogbwba9rj7uj5mk_cell6	R-17	R-8	R-15
step9_ExEc_28yb9pgez73wp6bfoxpp_cell15	R-17	R-8	R-99
step9_ExEc_zwtydq6cdu36vroqak71_cell1	R-17	R-8	R-48
step9_SE_vq7r65nqj2nbvj7sl9se_cell1	R-17	R-8	R-3
step9_PM_99nc943c1ok3uux81tya_cell1	R-17	R-8	R-3
step9_SE_yw3ew6vii1be2orhxeb8_cell35	R-17	R-8	R-3
step9_PM_heu1eskvkgta3a4cns6m_cell4	R-17	R-8	R-3
step9_NP_hit8gicey5zr7mbaajge_cell22	R-17	R-5	R-1
step9_LM_ummziu8je45t8bwd1ssi_cell28	R-17	R-8	R-3
step9_ExE_cvpyd2cjtjzssruojtxr_cell3	R-17	R-5	R-39
step9_MTr_44btmtxi46cfowc9syvd_cell22	R-17	R-8	R-3
step9_PM_9ez8rq951wxvh1jivk5i_cell2	R-17	R-5	R-5
step9_SE_4px85t8ebc9pblit7nfo_cell2	R-17	R-5	R-5
step9_LM_ummziu8je45t8bwd1ssi_cell43	R-17	R-5	R-39
step9_Ery2_zw9lmt4zufshxoc82duc_cell1	R-17	R-5	R-39
step9_Node_o8nez1z564u4bgkfoi8m_cell51	R-17	R-8	R-15
step9_CMy_8cwhctqtitt969yivr3t_cell16	R-17	R-8	R-15
step9_RM_s7yljlsdcjgpltg9vsbz_cell49	R-17	R-8	R-3
step9_SE_yw3ew6vii1be2orhxeb8_cell27	R-17	R-5	R-1
step9_VE_dt1zyooaebih7jfyog3r_cell31	R-17	R-5	R-5
step9_VE_kewg3vf3pyzl626kck29_cell11	R-17	R-5	R-5
step9_LM_ummziu8je45t8bwd1ssi_cell51	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell62	R-17	R-8	R-15
step9_A/C_s7smfc7q4yc2d7k161qt_cell8	R-17	R-8	R-15
step9_Al_yorklxqdhms66yfz43ce_cell11	R-17	R-5	R-10
step9_ExE_1ydq5j6hqtviq3szwye8_cell28	R-17	R-8	R-3
step9_LM_wjs5qcmrbgoew48xahi8_cell1	R-17	R-8	R-15
step9_LM_ummziu8je45t8bwd1ssi_cell42	R-17	R-8	R-15
step9_CMy_qvd1xogbwba9rj7uj5mk_cell18	R-17	R-8	R-15
step9_SE_4px85t8ebc9pblit7nfo_cell9	R-17	R-5	R-5
step9_Al_yorklxqdhms66yfz43ce_cell4	R-17	R-5	R-5
step9_NP_16cyihvimym522jcuaby_cell2	R-17	R-8	R-15
step9_PM_kpdnxg85a5qombh983pv_cell31	R-17	R-8	R-15
step9_CMy_ckk9mc886nwt9u1bwvpn_cell1	R-17	R-5	R-2
step9_Al_yorklxqdhms66yfz43ce_cell6	R-17	R-5	R-2
step9_Al_yorklxqdhms66yfz43ce_cell42	R-17	R-5	R-2
step9_NP_hit8gicey5zr7mbaajge_cell19	R-17	R-5	R-2
step9_Node_kvpbk7oi2ydniesu7m28_cell33	R-17	R-8	R-3
step9_SE_4px85t8ebc9pblit7nfo_cell6	R-17	R-8	R-3
step9_SE_4px85t8ebc9pblit7nfo_cell23	R-17	R-5	R-2
step9_A/C_s7smfc7q4yc2d7k161qt_cell6	R-17	R-8	R-3
step9_LM_ummziu8je45t8bwd1ssi_cell14	R-17	R-5	R-5
step9_NP_16cyihvimym522jcuaby_cell1	R-17	R-5	R-5
step9_LM_qercie7fjaw58haxrm3q_cell4	R-17	R-5	R-1
step9_RM_s7yljlsdcjgpltg9vsbz_cell53	R-17	R-5	R-1
step9_CMy_qvd1xogbwba9rj7uj5mk_cell25	R-17	R-5	R-2
step9_NP_dzrp9nyadcq8fwudyxwz_cell3	R-17	R-5	R-2
step9_SE_gj8xc1nruazati5qe6vo_cell2	R-17	R-5	R-2
step9_PM_kpdnxg85a5qombh983pv_cell24	R-17	R-8	R-15
step9_NP_vlugemo4cu261xpcfn4j_cell10	R-17	R-5	R-2
step9_NP_dzrp9nyadcq8fwudyxwz_cell2	R-17	R-5	R-2
step9_NP_6f42fo31k3ji3gznsnuz_cell1	R-17	R-5	R-1
step9_NP_6f42fo31k3ji3gznsnuz_cell4	R-17	R-8	R-15
step9_Foregut_64itb6yij735r7vqfut3_cell41	R-17	R-8	R-15
step9_ExE_nibp8ht25gt3rmx9o78s_cell5	R-17	R-5	R-39
step9_ExE_nibp8ht25gt3rmx9o78s_cell25	R-17	R-5	R-39
step9_MTr_61rwktv5g75j1vntxmrl_cell11	R-17	R-8	R-18
step9_MTr_44btmtxi46cfowc9syvd_cell20	R-17	R-8	R-18
step9_RM_s7yljlsdcjgpltg9vsbz_cell2	R-17	R-5	R-2
step9_PM_kpdnxg85a5qombh983pv_cell6	R-17	R-5	R-5
step9_LM_ummziu8je45t8bwd1ssi_cell39	R-17	R-5	R-5
step9_LM_ummziu8je45t8bwd1ssi_cell18	R-17	R-5	R-2
step9_Al_z54k2mn1kspqdfxi1pdr_cell14	R-17	R-5	R-2
step9_SE_4px85t8ebc9pblit7nfo_cell22	R-17	R-5	R-2
step9_RM_lzbkx581plse8iq6ldpb_cell9	R-17	R-5	R-2
step9_SE_lxd8eign6rhgfldgoicm_cell3	R-17	R-8	R-3
step9_CMy_qvd1xogbwba9rj7uj5mk_cell50	R-17	R-5	R-2
step9_Ery2_m5db6slty57jeyg5idqx_cell11	R-17	R-5	R-2
step9_A/C_ds2q4kalqkri4b1byfoj_cell25	R-17	R-5	R-5
step9_PM_kpdnxg85a5qombh983pv_cell39	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell64	R-17	R-8	R-3
step9_PM_heu1eskvkgta3a4cns6m_cell20	R-17	R-8	R-3
step9_A/C_ds2q4kalqkri4b1byfoj_cell9	R-17	R-5	R-5
step9_Al_z54k2mn1kspqdfxi1pdr_cell1	R-17	R-8	R-15
step9_NP_vlugemo4cu261xpcfn4j_cell12	R-17	R-8	R-15
step9_CMy_qvd1xogbwba9rj7uj5mk_cell67	R-17	R-5	R-5
step9_NP_vlugemo4cu261xpcfn4j_cell21	R-17	R-5	R-18
step9_Ery2_zw9lmt4zufshxoc82duc_cell14	R-17	R-5	R-2
step9_SE_yw3ew6vii1be2orhxeb8_cell8	R-17	R-5	R-2
step9_MTr_44btmtxi46cfowc9syvd_cell3	R-17	R-8	R-1
step9_MTr_dv2s451wzf8ww51y74bw_cell16	R-17	R-8	R-1
step9_PM_4wybcp8sjowpblyxkdaz_cell7	R-17	R-8	R-15
step9_SE_yw3ew6vii1be2orhxeb8_cell14	R-17	R-8	R-15
step9_Node_o8nez1z564u4bgkfoi8m_cell8	R-17	R-8	R-15
step9_NP_hit8gicey5zr7mbaajge_cell10	R-17	R-8	R-15
step9_SE_v5mmlrrydnaeu4an64t7_cell3	R-17	R-5	R-2
step9_ExE_nibp8ht25gt3rmx9o78s_cell3	R-17	R-8	R-3
step9_ExE_dt43yh3gij1w2up49fpj_cell12	R-17	R-8	R-3
step9_NP_vlugemo4cu261xpcfn4j_cell24	R-17	R-5	R-2
step9_CMy_qvd1xogbwba9rj7uj5mk_cell27	R-17	R-8	R-15
step9_Ery2_zw9lmt4zufshxoc82duc_cell24	R-17	R-8	R-3
step9_PM_kpdnxg85a5qombh983pv_cell36	R-17	R-8	R-3
step9_CMy_8cwhctqtitt969yivr3t_cell1	R-17	R-8	R-3
